"Order Price List Key","Shipping Location Code","Product Code","Product Sub Code","Form Code","Container Code","Customer Number","Customer Name","Customer Address","Order Number","Actual Ship Date","Reserved for future use","Invoice/Credit Memo Printed Date","Quantity Shipped/ Invoiced","Unit Price","Extended Price","MT","Territory Manager Code","Sales Rep Number","Status"
"15","48       ","113801  ","  ","PL","50KG","214109051  ","400.000    ","20000.000    ","472000.00      ","1161130  ","1161129  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","239      ","3301    ","  ","CR","50KG","214109051  ","50.000     ","2500.000     ","67750.00       ","1161217  ","1161213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","239      ","113801  ","  ","PL","50KG","214109051  ","350.000    ","17500.000    ","420000.00      ","1161217  ","1161213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","240      ","3301    ","  ","CR","50KG","214109051  ","5.000      ","250.000      ","6775.00        ","1161215  ","1161213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","240      ","113801  ","  ","PL","50KG","214109051  ","280.000    ","14000.000    ","336000.00      ","1161215  ","1161213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","241      ","113801  ","  ","PL","50KG","214109051  ","112.000    ","5600.000     ","134400.00      ","1161215  ","1161213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","712      ","113801  ","  ","PL","50KG","214109051  ","200.000    ","10000.000    ","240000.00      ","1170109  ","1161231  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","713      ","113801  ","  ","PL","50KG","214109051  ","200.000    ","10000.000    ","240000.00      ","1170109  ","1161231  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","807      ","3301    ","  ","CR","50KG","214109051  ","100.000    ","5000.000     ","135500.00      ","1170112  ","1170106  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","807      ","113102  ","  ","PL","25KG","214109051  ","4.000      ","100.000      ","3240.00        ","1170112  ","1170106  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","807      ","113801  ","  ","PL","50KG","214109051  ","198.000    ","9900.000     ","237600.00      ","1170112  ","1170106  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","893      ","113801  ","  ","PL","50KG","214109051  ","100.000    ","5000.000     ","118000.00      ","1170118  ","1170110  ","4    ","MOYAL DAIRY FARM, SHOBHASER, BIKANER,        ","","","","","","FAILED"
"15","1069     ","3301    ","  ","CR","50KG","214109051  ","140.000    ","7000.000     ","186900.00      ","1170118  ","1170116  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1069     ","113102  ","  ","PL","25KG","214109051  ","4.000      ","100.000      ","3200.00        ","1170118  ","1170116  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1069     ","113201  ","  ","PL","50KG","214109051  ","5.000      ","250.000      ","5125.00        ","1170118  ","1170116  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1069     ","113801  ","  ","PL","50KG","214109051  ","153.000    ","7650.000     ","180540.00      ","1170118  ","1170116  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1207     ","113102  ","  ","PL","25KG","214109051  ","4.000      ","100.000      ","3240.00        ","1170125  ","1170120  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1207     ","113201  ","  ","PL","50KG","214109051  ","4.000      ","200.000      ","4180.00        ","1170125  ","1170120  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
